venue,year,title,authors,tags,primary_area,source,forum_id,paper_page,keep_reason,hit_terms
ICML,2026,Enhancing Protein-Protein Interaction Prediction with Hierarchical Motif-based Multimodal Protein Embedding,Zaifei YANG; Samuel Ping-Man Choi; James Kwok,protein,applications->health_medicine,openreview_v2,goPaAYr1J3,https://openreview.net/forum?id=goPaAYr1J3,health_medicine,"protein,proteins,residue"
ICML,2026,Adaptive Protein Tokenization,Rohit Dilip; Ayush Varshney; David Van Valen,protein,applications->everything_else,openreview_v2,UG06mAANLH,https://openreview.net/forum?id=UG06mAANLH,generic_area_focused,"protein,proteins"
ICML,2026,Co-Generative De Novo Functional Protein Design,Xinrui Chen; Yizhen Luo; Siqi Fan; Zaiqing Nie,protein,applications->health_medicine,openreview_v2,O4BmkfXv1f,https://openreview.net/forum?id=O4BmkfXv1f,health_medicine,protein
ICML,2026,Learning Protein Structure-Function Relationships through Knowledge-guided Representation Decomposition,Mingqing Wang; Zhiwei Nie; ATHANASIOS V. VASILAKOS; Yonghong He; Zhixiang Ren,protein,applications->health_medicine,openreview_v2,OM0C7jyV0p,https://openreview.net/forum?id=OM0C7jyV0p,health_medicine,"protein,proteins,residue"
ICML,2026,Learning the Interaction Prior for Protein-Protein Interaction Prediction: A Model-Agnostic Approach,Ziqi Gao; Chenyi Zi; Zijing Liu; Ziqiao Meng; Yu Li; Jia Li,"protein,molecule,clinical",applications->chemistry_physics_and_earth_sciences,openreview_v2,p7PPMKTPJp,https://openreview.net/forum?id=p7PPMKTPJp,chem_bio,"protein,proteins,drug,disease"
ICML,2026,ProtDBench: A Unified Benchmark of Protein Binder Design and Evaluation,Cong Liu; Milong Ren; Jiaqi Guan; Chengyue Gong; Jinyuan Sun; Xinshi Chen; Wenzhi Xiao,protein,applications->health_medicine,openreview_v2,bWLfplRNzt,https://openreview.net/forum?id=bWLfplRNzt,health_medicine,"protein,binder"
ICML,2026,Protein Autoregressive Modeling via Multiscale Structure Generation,Yanru Qu; Cheng-Yen Hsieh; Zaixiang Zheng; Ge Liu; Quanquan Gu,protein,applications->chemistry_physics_and_earth_sciences,openreview_v2,08tW615mgI,https://openreview.net/forum?id=08tW615mgI,chem_bio,"protein,proteins"
ICML,2026,TadA-Bench: A Million-Variant Benchmark for Future-Round Discovery Toward Agentic Protein Engineering,Jin Gao; Juntu Zhao; Zirui Zeng; Jiaqi Shen; Junhao Shi; Dukun Zhao; Yuming Lu; Dequan Wang,"protein,genomics",general_machine_learning->evaluation,openreview_v2,KMwrxaoAW4,https://openreview.net/forum?id=KMwrxaoAW4,generic_area_strong_hit,"protein,dna,rna"
ICML,2026,PDAgent: An LLM-Driven Autonomous Agent Framework Towards *In Silico* Protein Design via Directed Mutation,Song Ouyang; Zhijie Dong; Yong Luo; Kehua Su; Huangxuan Zhao; Miaojing Shi; Bo Du,protein,applications->health_medicine,openreview_v2,TwTvDVj6cH,https://openreview.net/forum?id=TwTvDVj6cH,health_medicine,protein
ICML,2026,Demystifying Multimodal Biomolecular Co-design With Intrinsic Geodesic Coupling,Keyue Qiu; Xintong Wang; Zhilong Zhang; Hao Zhou; Wei-Ying Ma,"protein,molecule",applications->chemistry_physics_and_earth_sciences,openreview_v2,SSoOP9ia5t,https://openreview.net/forum?id=SSoOP9ia5t,chem_bio,"proteins,protein,molecule,ligands,drug"
ICML,2026,Protein Language Model Embeddings Improve Generalization of Implicit Transfer Operators,Panagiotis Antoniadis; Beatrice Pavesi; Simon Olsson; Ole Winther,"protein,md_structbio",applications->chemistry_physics_and_earth_sciences,openreview_v2,gRzdGEtn3T,https://openreview.net/forum?id=gRzdGEtn3T,chem_bio,"protein,proteins"
ICML,2026,BioDynaSpec: Harmonic-Guided Spatio-Spectral Autoregressive Diffusion for Protein Dynamics Generation,Mujie Lin; Yutian Liu; Yudi Guo; Yanzhen Hou; Yiheng Tao; Ruochong Zheng; Kaiwen Cheng; Xin Shan; Youdong Mao; Jie Chen,"protein,md_structbio",applications->chemistry_physics_and_earth_sciences,openreview_v2,TwMRZPkn4e,https://openreview.net/forum?id=TwMRZPkn4e,chem_bio,"protein,residue,conformation"
ICML,2026,GenUnfold: Rapidly Predict Protein Mechanical Unfolding Trajectory via a Physics-Guided Diffusion Model,Yiyuan Zhang; Cailong Hua; VINITENDRA SINGH; Joseph M. Muretta; James M. Ervasti; Murti Salapaka,"protein,molecule",applications,openreview_v2,wutI1P0dsB,https://openreview.net/forum?id=wutI1P0dsB,generic_area_strong_hit,"protein,proteins,residue,molecule"
ICML,2026,ProMiSE: Protein Multi-State Evaluation Benchmark in Biological Contexts,Bonjae Ku; Seeun Kim; Yubeen Kim; Hahnbeom Park; Chaok Seok,"protein,molecule,md_structbio",applications->health_medicine,openreview_v2,5ZN3tiSetW,https://openreview.net/forum?id=5ZN3tiSetW,title_strong_bio,"protein,proteins,ligand"
ICML,2026,Cross-Chirality Generalization by Axial Vectors for Hetero-Chiral Protein-Peptide Interaction Design,Ziyi Yang; Zitong Tian; Yinjun Jia; Tianyi Zhang; Jiqing Zheng; Hao Wang; Yubu Su; Juncai He; Lei Liu; Yanyan Lan,protein,applications->chemistry_physics_and_earth_sciences,openreview_v2,mAusAlRZ0a,https://openreview.net/forum?id=mAusAlRZ0a,chem_bio,"protein,peptide,binders"
ICML,2026,Flexible Kernels for Protein Property Prediction,Martin Jankowiak; Yerdos Ordabayev; Rudraksh Tuwani; Henry Neil Ward; Hunter Nisonoff; James M McFarland; Gevorg Grigoryan,protein,applications->chemistry_physics_and_earth_sciences,openreview_v2,uOSa4bbPDj,https://openreview.net/forum?id=uOSa4bbPDj,chem_bio,protein
ICML,2026,CalPro: Prior-Aware Evidential Conformal Prediction with Structure-Aware Sensitivity Bounds for Protein Structures,Ibne Farabi Shihab; Sanjeda Akter; Anuj Sharma,"protein,molecule",applications->health_medicine,openreview_v2,3LRWjJTp0Y,https://openreview.net/forum?id=3LRWjJTp0Y,health_medicine,"protein,alphafold,proteins,docking"
ICML,2026,Protein Circuit Tracing via Cross-layer Transcoders,Darin Tsui; Kunal Talreja; Daniel Saeedi; Amirali Aghazadeh,protein,applications->health_medicine,openreview_v2,Ki0eWT1sFS,https://openreview.net/forum?id=Ki0eWT1sFS,health_medicine,protein
ICML,2026,Nested birth-death processes are competitive with neural networks as time-dependent models of protein evolution,Annabel Large; Ian Holmes,protein,applications->everything_else,openreview_v2,qs9lQluekx,https://openreview.net/forum?id=qs9lQluekx,generic_area_focused,protein
